name,active_groups,coverage,mean_active_return,return_with_cash,active_profit_rate,active_beat_spy_rate,mean_alpha_vs_spy
q80 hybrid retrain,156,0.156,0.007563851853839172,0.0011799608891989108,0.6025641025641025,0.5897435897435898,0.007295344353482715
q80 learned gate,152,0.152,0.007711633941758182,0.0011721683591472435,0.6118421052631579,0.5986842105263158,0.007306009383158153
q90 hybrid retrain,145,0.145,0.0064964528341139895,0.0009419856609465285,0.5793103448275863,0.5862068965517241,0.0055761558836291344
q80 cash objective,233,0.233,0.004177712570013345,0.0009734070288131093,0.5364806866952789,0.5278969957081545,0.003503778070424085
q80 score sizing,156,0.156,0.005197630558910238,0.0008108303671899973,0.6025641025641025,0.5833333333333334,0.004892596120184564
q80 regime gate,111,0.111,0.004181111004862293,0.00046410332153971456,0.6036036036036037,0.5945945945945946,0.004217057769676095
q80 market context,111,0.111,0.0009416167897758128,0.00010451946366511522,0.4864864864864865,0.4864864864864865,-0.00031756290621420824
